Energy (eV),DOS_up
-69.86105075,0.0
-69.81165075000001,0.0
-69.76215074999999,0.0
-69.71265075,0.0
-69.66325075,0.0
-69.61375075000001,0.0
-69.56425075000001,0.0
-69.51475074999999,0.0
-69.46535075,0.0
-69.41585075,0.0
-69.36635075000001,0.0
-69.31685075000001,0.0
-69.26745075,0.0
-69.21795075,0.0
-69.16845075,0.0
-69.11905075000001,0.0
-69.06955074999999,0.0
-69.02005075,0.0
-68.97055075,0.0
-68.92115075000001,0.0
-68.87165075,0.0
-68.82215074999999,0.0
-68.77275075,0.0
-68.72325075,0.0
-68.67375075000001,0.0
-68.62425075,0.0
-68.57485075,0.0
-68.52535075,0.0
-68.47585075,0.0
-68.42645075,0.0
-68.37695074999999,0.0
-68.32745075,0.0
-68.27795075,0.0
-68.22855075000001,0.0
-68.17905075,0.0
-68.12955074999999,0.0
-68.08015075,0.0
-68.03065075,0.0
-67.98115075,0.0
-67.93165075,0.0
-67.88225075,0.0
-67.83275075,0.0
-67.78325075000001,0.0
-67.73375075,0.0
-67.68435075,0.0
-67.63485075,0.0
-67.58535075,0.0
-67.53595075,0.0
-67.48645075,0.0
-67.43695075,0.0
-67.38745075,0.0
-67.33805075000001,0.0
-67.28855075,0.0
-67.23905074999999,0.0
-67.18965075,0.0
-67.14015075,0.0
-67.09065075000001,0.0
-67.04115075,0.0
-66.99175075,0.0
-66.94225075,0.0
-66.89275075,0.0
-66.84335075,0.0
-66.79385074999999,0.0
-66.74435075,0.0
-66.69485075,0.0
-66.64545075000001,0.0
-66.59595075,0.0
-66.54645074999999,0.0
-66.49695075,0.0
-66.44755075,0.0
-66.39805075000001,0.0
-66.34855075,0.0
-66.29915075,0.0
-66.24965075,0.0
-66.20015075,0.0
-66.15065075,0.0
-66.10125074999999,0.0
-66.05175075,0.0
-66.00225075,0.0
-65.95285075000001,0.0
-65.90335075,0.0
-65.85385074999999,0.0
-65.80435075,0.0
-65.75495075,0.0
-65.70545075,0.0
-65.65595075,0.0
-65.60655075,0.0
-65.55705075,0.0
-65.50755075000001,0.0
-65.45805075,0.0
-65.40865074999999,0.0
-65.35915075,0.0
-65.30965075,0.0
-65.26025075,0.0
-65.21075075,0.0
-65.16125075,0.0
-65.11175075,0.0
-65.06235075000001,0.0
-65.01285075,0.0
-64.96335075,0.0
-64.91385075,0.0
-64.86445075,0.0
-64.81495075000001,0.0
-64.76545075,0.0
-64.71605075,0.0
-64.66655075,0.0
-64.61705075,0.0
-64.56755075000001,0.0
-64.51815075,0.0
-64.46865075,0.0
-64.41915075,0.0
-64.36975075000001,0.0
-64.32025075,0.0
-64.27075074999999,0.0
-64.22125075,0.0
-64.17185075,0.0
-64.12235075000001,0.0
-64.07285075,0.0
-64.02345075,0.0
-63.97395075,0.0
-63.92445075,0.0
-63.87495075,0.0
-63.82555075,0.0
-63.77605075,0.0
-63.72655075,0.0
-63.67705075,0.0
-63.62765075,0.0
-63.57815075,0.0
-63.52865075,0.0
-63.47925075,0.0
