Index,Distance,Label
0,0.0,\Gamma
1,0.03250294228321044,
2,0.06500588456642088,
3,0.09750882684963133,
4,0.13001176913284176,
5,0.16251471141605223,
6,0.19501765369926266,
7,0.2275205959824731,
8,0.26002353826568353,
9,0.29252648054889396,
10,0.32502942283210445,
11,0.3575323651153149,
12,0.3900353223498791,
13,0.4225382646330895,
14,0.45504120691629996,
15,0.4875441491995104,
16,0.5200470914827209,
17,0.5525500337659314,
18,0.5850529760491417,
19,0.6175559183323522,
20,0.6500588606155626,
21,0.6825618028987731,
22,0.7150647451819835,
23,0.747567687465194,X
24,0.747567687465194,X
25,0.7787163361257925,
26,0.8098649997377447,
27,0.8410136483983432,
28,0.8721622970589418,
29,0.903310960670894,
30,0.9344596093314925,
31,0.965608257992091,
32,0.9967569216040433,
33,1.0279055702646418,
34,1.0590542189252403,
35,1.0902028825371928,
36,1.1213515311977913,W
37,1.1213515311977913,W
38,1.1543896675229528,
39,1.1874278038481143,
40,1.2204659401732758,
41,1.2535040764984373,
42,1.2865422128235988,
43,1.3195803491487605,
44,1.352618485473922,
45,1.3856566217990836,K
46,1.3856566217990836,K
47,1.418694758124245,
48,1.4517328944494066,
49,1.484771030774568,
50,1.5178091670997296,
51,1.550847303424891,
52,1.5838854397500526,
53,1.616923576075214,
54,1.6499617124003756,
55,1.682999848725537,
56,1.7160379850506986,
57,1.74907612137586,
58,1.7821142577010216,
59,1.8151523940261831,
60,1.8481905303513446,
61,1.8812286666765061,
62,1.9142668030016676,
63,1.9473049393268291,
64,1.9803430756519906,
65,2.013381211977152,
66,2.046419348302314,
67,2.0794574846274756,
68,2.112495620952637,
69,2.1455337572777986,
70,2.1785718936029603,\Gamma
71,2.1785718936029603,\Gamma
72,2.2109425240226224,
73,2.2433131544422844,
74,2.2756837848619464,
75,2.3080544152816085,
76,2.3404250457012705,
77,2.3727956761209326,
78,2.4051663065405946,
79,2.4375369369602566,
80,2.4699075673799187,
81,2.5022781977995807,
82,2.5346488282192428,
83,2.567019458638905,
84,2.599390089058567,
85,2.631760719478229,
86,2.664131349897891,
87,2.6965019803175534,
88,2.7288726107372154,
89,2.7612432411568775,
90,2.7936138715765395,
91,2.8259845019962015,L
92,2.8259845019962015,L
93,2.8586837714514988,
94,2.8913830531145255,
95,2.9240823225698223,
96,2.95678160423285,
97,2.9894808736881466,
98,3.0221801553511733,
99,3.0548794248064706,
100,3.0875786942617673,
101,3.120277975924794,
102,3.152977245380091,
103,3.1856765270431184,
104,3.218375796498415,
105,3.251075078161442,
106,3.283774347616739,U
107,3.283774347616739,U
108,3.3168124839419004,
109,3.3498506202670617,
110,3.382888756592223,
111,3.4159268929173847,
112,3.4489650292425464,
113,3.4820031655677077,
114,3.5150413018928695,
115,3.5480794382180307,W
116,3.5480794382180307,W
117,3.5811175745431925,
118,3.6141557108683537,
119,3.647193847193515,
120,3.6802319835186768,
121,3.7132701198438385,
122,3.746308256169,
123,3.7793463924941615,
124,3.8123845288193228,
125,3.8454226651444845,
126,3.878460801469646,
127,3.9114989377948075,
128,3.944537074119969,
129,3.9775752104451305,
130,4.010613346770292,
131,4.043651483095453,
132,4.076689619420614,L
133,4.076689619420614,L
134,4.109388888875912,
135,4.142088170538938,
136,4.174787439994235,
137,4.207486721657262,
138,4.2401859911125594,
139,4.272885272775586,
140,4.305584542230883,
141,4.33828381168618,
142,4.370983093349206,
143,4.403682362804504,
144,4.436381644467531,
145,4.469080913922828,
146,4.501780195585854,
147,4.5344794650411515,K
148,4.992269310661685,U
149,5.025307446986846,
150,5.058345583312008,
151,5.091383719637169,
152,5.12442185596233,
153,5.1574599922874915,
154,5.190498128612653,
155,5.223536264937814,
156,5.256574401262975,X
