Distance,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
0.0,-53.7315,-53.7315,-53.7315,-53.728,-53.728,-53.7104,-53.7103,-53.7103,-53.7027,-53.6481,-53.6481,-53.6481,-44.8977,-44.8977,-44.8977,-44.8952,-44.8952,-44.8952,-15.7118,-14.4459,-14.4333,-14.4333,-14.4333,-14.0528,-14.0528,-14.0528,-5.4777,-5.017,-5.017,-4.6127,-4.6127,-4.6127,-4.4781,-4.478,-4.478,-3.7188,-3.7188,-3.7188,-3.6056,-3.6056,-2.9982,-2.9982,-2.9982,-2.9507,-2.9507,-2.9507,-2.1288,-2.1288,-2.0747,-1.0075,-1.0075,-1.0075,-0.6246,-0.4936,-0.4936,-0.4936,0.4394,0.4394,0.4394,0.8473,0.8473,0.9474,0.9474,0.9474,0.9561,0.9561,0.9561,1.6803,1.6803,3.3892,3.3892,3.3892,3.5747,3.5747,3.5747,3.7269,3.7269,3.8163,3.8163,3.8163,6.6558,11.1656,11.1656,11.1656,11.3369,11.3369,11.3369,11.6514,13.6867,15.3567,15.3567,15.3567,15.9066,15.9066,15.9795,15.9795,17.6823,17.9333,19.4229,19.4229,19.4229,20.1819,20.1819,20.1819,21.1646,21.1646,22.0652,22.0652,22.0652,22.5005,22.5005,22.5005,22.5178,22.5178,22.5178,23.5607,23.5607,23.5607,23.8391,27.5939,27.5939,27.5939,27.9988,27.9988,27.9989,28.2313,28.2553,28.2553,28.2553,28.5047,28.5047,29.5484,29.5484,31.3688,31.3688,31.3688,32.0739,32.0739,32.0751,33.0671
0.03250294228321044,-53.7315,-53.7315,-53.7315,-53.728,-53.728,-53.7104,-53.7104,-53.7104,-53.7026,-53.6482,-53.6481,-53.6481,-44.8977,-44.8977,-44.8977,-44.8952,-44.8952,-44.8952,-15.7101,-14.4512,-14.4328,-14.4328,-14.4291,-14.0535,-14.0532,-14.0532,-5.4754,-5.0164,-5.0161,-4.6116,-4.6107,-4.6107,-4.4781,-4.4775,-4.4775,-3.7231,-3.7189,-3.7189,-3.6061,-3.6058,-3.0039,-2.9993,-2.9993,-2.96,-2.952,-2.952,-2.1214,-2.1192,-2.0693,-1.0106,-1.0106,-1.0072,-0.626,-0.4928,-0.4897,-0.4897,0.4385,0.4385,0.4432,0.8295,0.8298,0.9476,0.9476,0.9583,0.9583,0.9634,0.9699,1.6794,1.6815,3.3841,3.3841,3.3899,3.5631,3.5729,3.5729,3.7265,3.7285,3.8097,3.818,3.818,6.6664,11.1507,11.1508,11.1508,11.3408,11.3627,11.3627,11.6731,13.692,15.3509,15.3569,15.3569,15.9042,15.9056,15.9793,15.9813,17.6827,17.9323,19.4194,19.4205,19.4205,20.1639,20.1639,20.1874,21.1318,21.1676,22.0541,22.0541,22.0729,22.453,22.4989,22.4989,22.5096,22.5096,22.5246,23.5785,23.5941,23.5941,23.9146,27.57,27.57,27.5943,27.8406,28.0217,28.0217,28.2354,28.251,28.251,28.2548,28.5041,28.5737,29.5376,29.5937,31.3684,31.3733,31.3734,32.0918,32.0963,32.1028,33.0639
0.06500588456642088,-53.7315,-53.7314,-53.7314,-53.728,-53.7279,-53.7104,-53.7104,-53.7104,-53.7024,-53.6484,-53.6481,-53.6481,-44.8977,-44.8977,-44.8976,-44.8952,-44.8952,-44.8952,-15.7055,-14.4613,-14.4316,-14.4316,-14.4227,-14.0559,-14.0546,-14.0546,-5.4684,-5.0144,-5.0131,-4.6086,-4.6049,-4.6049,-4.4782,-4.4758,-4.4758,-3.7359,-3.7192,-3.7192,-3.6078,-3.6065,-3.0204,-3.0028,-3.0028,-2.9867,-2.9559,-2.9559,-2.0998,-2.0916,-2.0537,-1.0196,-1.0196,-1.0064,-0.6304,-0.4902,-0.4782,-0.4782,0.4358,0.4358,0.4543,0.7907,0.7916,0.9448,0.9448,0.9679,0.9679,0.9957,0.9978,1.6766,1.6852,3.3691,3.3691,3.3921,3.5312,3.5677,3.5677,3.725,3.7305,3.7902,3.8228,3.8228,6.6979,11.1124,11.1221,11.1221,11.3524,11.4245,11.4245,11.7318,13.7077,15.3337,15.3576,15.3576,15.8968,15.9027,15.9784,15.9857,17.6838,17.9288,19.4088,19.4116,19.4116,20.1136,20.1136,20.2036,21.0391,21.1767,22.0212,22.0212,22.096,22.3256,22.4853,22.4853,22.4943,22.4943,22.545,23.6538,23.6905,23.6905,24.0977,27.5093,27.5093,27.5239,27.5952,28.0712,28.0712,28.1759,28.2458,28.2458,28.2981,28.5017,28.6559,29.5055,29.7238,31.3677,31.3873,31.3873,32.1438,32.1447,32.1678,33.0435
0.09750882684963133,-53.7314,-53.7313,-53.7313,-53.728,-53.7278,-53.7105,-53.7105,-53.7105,-53.7021,-53.6487,-53.6482,-53.6482,-44.8977,-44.8977,-44.8976,-44.8952,-44.8952,-44.8952,-15.698,-14.4735,-14.4296,-14.4296,-14.4166,-14.0599,-14.057,-14.057,-5.457,-5.0111,-5.0083,-4.6036,-4.5955,-4.5955,-4.4783,-4.473,-4.473,-3.7565,-3.7198,-3.7198,-3.6105,-3.6076,-3.0463,-3.028,-3.0089,-3.0089,-2.9619,-2.9619,-2.0656,-2.0483,-2.0287,-1.0336,-1.0336,-1.0049,-0.6377,-0.486,-0.4602,-0.4602,0.4315,0.4315,0.4724,0.7424,0.7468,0.9387,0.9387,0.9853,0.9853,1.0279,1.0313,1.6721,1.6914,3.3447,3.3447,3.3958,3.4844,3.5595,3.5595,3.7227,3.7281,3.758,3.8297,3.8297,6.7495,11.0619,11.0953,11.0953,11.3715,11.5061,11.5061,11.8156,13.7339,15.3051,15.3587,15.3587,15.8845,15.8979,15.9767,15.9933,17.6857,17.9236,19.3904,19.3904,19.3909,20.0423,20.0423,20.2306,20.8998,21.1917,21.9691,21.9691,22.1342,22.1494,22.4467,22.4467,22.4864,22.4864,22.5793,23.7929,23.841,23.841,24.3369,27.1508,27.4273,27.4273,27.5974,28.0801,28.0948,28.0948,28.2786,28.2786,28.3578,28.4959,28.682,29.456,29.9133,31.3676,31.411,31.411,32.2255,32.2376,32.2742,33.2001
0.13001176913284176,-53.7314,-53.7311,-53.7311,-53.728,-53.7276,-53.7107,-53.7106,-53.7106,-53.7017,-53.6491,-53.6483,-53.6483,-44.8977,-44.8977,-44.8976,-44.8952,-44.8952,-44.8952,-15.6876,-14.4876,-14.4269,-14.4269,-14.4113,-14.0655,-14.0604,-14.0604,-5.4412,-5.0065,-5.0015,-4.5969,-4.5827,-4.5827,-4.4786,-4.4687,-4.4687,-3.7838,-3.7204,-3.7204,-3.6143,-3.6092,-3.0802,-3.0795,-3.0179,-3.0179,-2.9699,-2.9699,-2.0207,-1.9992,-1.989,-1.0517,-1.0517,-1.0025,-0.6478,-0.4801,-0.437,-0.437,0.4259,0.4259,0.497,0.6889,0.6986,0.9307,0.9307,1.0092,1.0092,1.0566,1.0667,1.6658,1.7,3.3118,3.3118,3.4008,3.4263,3.5487,3.5487,3.7137,3.7186,3.7194,3.8377,3.8377,6.8202,11.0069,11.0755,11.0755,11.3976,11.6017,11.6017,11.9157,13.7707,15.2661,15.3605,15.3605,15.8673,15.8915,15.9742,16.0041,17.6883,17.9172,19.3463,19.3463,19.3655,19.9675,19.9675,20.268,20.7279,21.2126,21.8994,21.8994,21.9491,22.1871,22.3968,22.3968,22.4757,22.4757,22.6271,23.9804,24.0347,24.0347,24.6073,26.749,27.3323,27.3323,27.602,27.9525,28.0635,28.0635,28.3726,28.3726,28.4192,28.484,28.6799,29.3947,30.1269,31.3696,31.4446,31.4446,32.3306,32.3335,32.4044,32.7683
0.16251471141605223,-53.7314,-53.7309,-53.7309,-53.728,-53.7275,-53.7109,-53.7107,-53.7107,-53.7012,-53.6497,-53.6483,-53.6483,-44.8977,-44.8977,-44.8976,-44.8953,-44.8951,-44.8951,-15.6742,-14.5035,-14.4234,-14.4234,-14.4065,-14.0726,-14.0647,-14.0647,-5.4213,-5.0005,-4.9928,-4.5886,-4.5672,-4.5672,-4.479,-4.4627,-4.4627,-3.8167,-3.7209,-3.7209,-3.619,-3.6114,-3.1403,-3.1181,-3.0301,-3.0301,-2.9791,-2.9791,-1.9672,-1.9606,-1.9221,-1.0727,-1.0727,-0.9988,-0.6607,-0.4727,-0.4098,-0.4098,0.4193,0.4193,0.5273,0.6319,0.6479,0.9218,0.9218,1.0385,1.0385,1.083,1.1008,1.658,1.7112,3.2713,3.2713,3.3592,3.407,3.5358,3.5358,3.658,3.701,3.7154,3.8456,3.8456,6.9087,10.9514,11.0645,11.0645,11.4301,11.7091,11.7091,12.0268,13.8185,15.2177,15.3634,15.3634,15.8454,15.8837,15.9712,16.0187,17.692,17.9104,19.2668,19.2668,19.3325,19.9085,19.9085,20.3155,20.5345,21.2393,21.7392,21.8136,21.8136,22.2544,22.3387,22.3387,22.4628,22.4628,22.6888,24.2006,24.262,24.262,24.8968,26.3305,27.228,27.228,27.6111,27.7984,28.0046,28.0047,28.4345,28.4621,28.5012,28.5012,28.7171,29.3298,30.3394,31.3752,31.4874,31.4874,32.4518,32.5249,32.5647,33.0829
0.19501765369926266,-53.7313,-53.7306,-53.7306,-53.728,-53.7272,-53.7111,-53.7109,-53.7109,-53.7005,-53.6504,-53.6484,-53.6484,-44.8977,-44.8977,-44.8976,-44.8953,-44.8951,-44.8951,-15.658,-14.5213,-14.4192,-14.4192,-14.4022,-14.081,-14.0699,-14.0699,-5.3975,-4.993,-4.9823,-4.5791,-4.5499,-4.5499,-4.4797,-4.4542,-4.4542,-3.8539,-3.7212,-3.7212,-3.6246,-3.6142,-3.2056,-3.1603,-3.0458,-3.0458,-2.9893,-2.9893,-1.9195,-1.9067,-1.8451,-1.0957,-1.0957,-0.9933,-0.6763,-0.4638,-0.3799,-0.3799,0.4116,0.4116,0.5625,0.5726,0.5954,0.9133,0.9133,1.0723,1.0723,1.1069,1.133,1.6487,1.725,3.2238,3.2238,3.2843,3.4144,3.5211,3.5211,3.5918,3.6752,3.7106,3.8527,3.8527,7.0131,10.8972,11.0624,11.0624,11.4685,11.8272,11.8272,12.1454,13.8772,15.1607,15.3677,15.3677,15.819,15.8749,15.9674,16.0379,17.6969,17.9043,19.1466,19.1466,19.2918,19.8765,19.8765,20.3275,20.3725,21.2716,21.5272,21.7125,21.7125,22.2757,22.2757,22.3353,22.4478,22.4478,22.7642,24.4421,24.5146,24.5146,25.1983,25.9023,27.1163,27.1163,27.623,27.628,27.9332,27.9332,28.3809,28.4252,28.6514,28.6514,28.8289,29.2704,30.5377,31.3852,31.538,31.538,32.331,32.576,32.5916,32.739
0.2275205959824731,-53.7312,-53.7303,-53.7303,-53.728,-53.727,-53.7113,-53.7111,-53.7111,-53.6998,-53.6512,-53.6485,-53.6485,-44.8977,-44.8977,-44.8975,-44.8953,-44.8951,-44.8951,-15.6391,-14.5408,-14.4142,-14.4142,-14.3982,-14.0906,-14.076,-14.076,-5.3702,-4.9839,-4.97,-4.5689,-4.5322,-4.5322,-4.4806,-4.4421,-4.4421,-3.894,-3.721,-3.721,-3.6311,-3.6177,-3.2739,-3.2047,-3.0649,-3.0649,-3.0003,-3.0003,-1.8763,-1.8406,-1.7605,-1.1197,-1.1197,-0.9852,-0.6947,-0.4536,-0.3486,-0.3486,0.4028,0.4028,0.5121,0.5411,0.6013,0.9067,0.9067,1.1099,1.1099,1.1281,1.1634,1.6382,1.7414,3.1701,3.1701,3.2028,3.4227,3.5051,3.5051,3.5162,3.6417,3.7052,3.8583,3.8583,7.132,10.8447,11.0688,11.0688,11.5121,11.9551,11.9551,12.2688,13.9472,15.0968,15.3739,15.3739,15.7883,15.8654,15.9629,16.0625,17.7036,17.8997,18.9916,18.9916,19.2438,19.869,19.869,20.1117,20.4387,21.3091,21.3171,21.5979,21.5979,22.2106,22.2106,22.429,22.4312,22.4313,22.8528,24.696,24.7855,24.7855,25.4694,25.5065,26.9987,26.9987,27.431,27.6566,27.8556,27.8557,28.2937,28.3685,28.8193,28.8193,28.9871,29.2254,30.7164,31.3986,31.5943,31.5943,32.0672,32.6905,32.7413,32.9484
0.26002353826568353,-53.7312,-53.7299,-53.7299,-53.7281,-53.7267,-53.7116,-53.7113,-53.7113,-53.6989,-53.6522,-53.6487,-53.6487,-44.8978,-44.8978,-44.8975,-44.8954,-44.8951,-44.8951,-15.6176,-14.5624,-14.4086,-14.4086,-14.3944,-14.1015,-14.083,-14.083,-5.3399,-4.9732,-4.956,-4.5586,-4.516,-4.516,-4.4818,-4.4251,-4.4251,-3.9357,-3.7202,-3.7202,-3.6382,-3.622,-3.3438,-3.2502,-3.0873,-3.0873,-3.0121,-3.0121,-1.8321,-1.7702,-1.6702,-1.1444,-1.1444,-0.9733,-0.7158,-0.4424,-0.3169,-0.3169,0.3924,0.3924,0.4517,0.4852,0.6427,0.9035,0.9035,1.1468,1.1504,1.1504,1.1916,1.6265,1.7607,3.1107,3.1107,3.1151,3.4319,3.4323,3.4881,3.4881,3.6015,3.6992,3.8619,3.8619,7.2633,10.7937,11.0832,11.0832,11.5602,12.0922,12.0922,12.3943,14.0283,15.0275,15.3821,15.3821,15.7534,15.8556,15.9576,16.0933,17.7122,17.8971,18.8125,18.8126,19.1886,19.8773,19.8773,19.8907,20.5135,21.1113,21.3517,21.4726,21.4726,22.1449,22.1449,22.4134,22.4134,22.5345,22.9531,24.9548,25.036,25.0684,25.0684,25.8165,26.8765,26.8765,27.2266,27.7033,27.7767,27.7767,28.1935,28.2905,29.0035,29.0035,29.1741,29.2007,30.8729,31.4048,31.6536,31.6537,31.796,32.7866,32.8564,33.1255
0.29252648054889396,-53.7311,-53.7296,-53.7295,-53.7281,-53.7264,-53.712,-53.7116,-53.7116,-53.6979,-53.6532,-53.6488,-53.6488,-44.8978,-44.8978,-44.8974,-44.8954,-44.8951,-44.8951,-15.5935,-14.5858,-14.4022,-14.4022,-14.3908,-14.1133,-14.0907,-14.0907,-5.3069,-4.9605,-4.9404,-4.549,-4.5026,-4.5026,-4.4835,-4.4019,-4.4019,-3.9775,-3.7186,-3.7186,-3.646,-3.6271,-3.414,-3.2959,-3.1125,-3.1125,-3.0248,-3.0248,-1.7877,-1.6963,-1.5763,-1.169,-1.169,-0.9563,-0.7396,-0.4308,-0.2855,-0.2855,0.3799,0.3799,0.3929,0.4278,0.6852,0.9054,0.9054,1.163,1.1932,1.1932,1.2177,1.6139,1.7827,3.0218,3.0461,3.0461,3.3417,3.4419,3.4703,3.4703,3.5554,3.6929,3.8636,3.8636,7.4054,10.7438,11.1046,11.1046,11.6121,12.2378,12.2378,12.5193,14.1208,14.9547,15.3929,15.393,15.7148,15.8458,15.9516,16.1316,17.7233,17.8973,18.6183,18.6183,19.1272,19.6667,19.8924,19.8924,20.5962,20.911,21.3416,21.3416,21.399,22.0798,22.0798,22.3947,22.3947,22.6508,23.0621,24.6078,25.2106,25.3563,25.3563,26.1235,26.7524,26.7524,27.0136,27.7017,27.7017,27.7765,28.0892,28.1941,29.1978,29.203,29.203,29.383,31.0076,31.3287,31.6009,31.7134,31.7135,32.8443,32.871,33.0308
